t,Volume_A,Volume_B,Temperature_B
80,4.22478,1.64854,40.9227
81,4.2155,1.65496,41.0708
82,4.20623,1.66135,41.2163
83,4.19697,1.66771,41.3594
84,4.18773,1.67403,41.4999
85,4.17849,1.68032,41.638
86,4.16926,1.68657,41.7737
87,4.16005,1.69278,41.9072
88,4.15084,1.69897,42.0383
89,4.14165,1.70512,42.1672
90,4.13246,1.71123,42.294
91,4.12329,1.71732,42.4185
92,4.11412,1.72336,42.541
93,4.10497,1.72938,42.6615
94,4.09582,1.73536,42.7799
95,4.08669,1.74131,42.8963
96,4.07756,1.74723,43.0108
97,4.06845,1.75311,43.1235
98,4.05934,1.75897,43.2342
99,4.05025,1.76479,43.3431
100,4.04117,1.77058,43.4502
101,4.03209,1.77633,43.5556
102,4.02303,1.78206,43.6592
103,4.01398,1.78775,43.7612
104,4.00493,1.79341,43.8614
105,3.9959,1.79904,43.9601
106,3.98688,1.80464,44.0571
107,3.97787,1.81021,44.1526
108,3.96887,1.81575,44.2466
109,3.95987,1.82125,44.339
110,3.95089,1.82673,44.4299
111,3.94192,1.83217,44.5194
112,3.93296,1.83759,44.6074
113,3.92401,1.84297,44.694
114,3.91507,1.84833,44.7793
115,3.90614,1.85366,44.8631
116,3.89722,1.85895,44.9457
117,3.88831,1.86422,45.0269
118,3.87941,1.86945,45.1069
119,3.87052,1.87466,45.1855
120,3.86164,1.87984,45.263
121,3.85277,1.88499,45.3392
122,3.84391,1.89011,45.4142
123,3.83506,1.8952,45.488
124,3.82622,1.90026,45.5606
125,3.81739,1.9053,45.6321
126,3.80857,1.91031,45.7025
127,3.79977,1.91528,45.7718
128,3.79097,1.92023,45.84
129,3.78218,1.92515,45.9071
130,3.7734,1.93005,45.9731
131,3.76463,1.93491,46.0382
132,3.75588,1.93975,46.1022
133,3.74713,1.94456,46.1652
134,3.73839,1.94935,46.2272
135,3.72967,1.9541,46.2882
136,3.72095,1.95883,46.3483
137,3.71224,1.96353,46.4075
138,3.70355,1.96821,46.4657
139,3.69486,1.97286,46.523
140,3.68619,1.97748,46.5794
141,3.67752,1.98207,46.635
142,3.66887,1.98664,46.6896
143,3.66022,1.99119,46.7434
144,3.65159,1.9957,46.7964
145,3.64296,2.00019,46.8485
146,3.63435,2.00465,46.8999
147,3.62574,2.00909,46.9504
148,3.61715,2.0135,47.0001
149,3.60856,2.01789,47.049
150,3.59999,2.02225,47.0972
151,3.59143,2.02659,47.1446
152,3.58287,2.0309,47.1913
153,3.57433,2.03518,47.2372
154,3.5658,2.03944,47.2824
155,3.55727,2.04368,47.3269
156,3.54876,2.04789,47.3707
157,3.54026,2.05207,47.4138
158,3.53177,2.05623,47.4562
159,3.52329,2.06036,47.4979
160,3.51481,2.06448,47.539
161,3.50635,2.06856,47.5794
162,3.4979,2.07262,47.6192
163,3.48946,2.07666,47.6583
164,3.48103,2.08067,47.6968
165,3.47261,2.08466,47.7347
166,3.4642,2.08863,47.772
167,3.4558,2.09257,47.8087
168,3.44741,2.09649,47.8448
169,3.43903,2.10038,47.8803
170,3.43066,2.10425,47.9152
171,3.4223,2.1081,47.9495
172,3.41395,2.11192,47.9833
173,3.40561,2.11572,48.0165
174,3.39728,2.1195,48.0492
175,3.38896,2.12325,48.0814
176,3.38065,2.12698,48.113
177,3.37236,2.13069,48.1441
178,3.36407,2.13438,48.1746
179,3.35579,2.13804,48.2047
180,3.34752,2.14168,48.2342
181,3.33926,2.1453,48.2633
182,3.33102,2.14889,48.2919
183,3.32278,2.15246,48.3199
184,3.31455,2.15601,48.3475
185,3.30634,2.15954,48.3747
186,3.29813,2.16304,48.4013
187,3.28993,2.16653,48.4275
188,3.28175,2.16999,48.4532
189,3.27357,2.17343,48.4785
190,3.2654,2.17685,48.5034
191,3.25725,2.18024,48.5278
192,3.2491,2.18362,48.5518
193,3.24097,2.18697,48.5753
194,3.23284,2.1903,48.5984
195,3.22473,2.19361,48.6211
196,3.21662,2.1969,48.6434
197,3.20853,2.20016,48.6653
198,3.20045,2.20341,48.6868
199,3.19237,2.20663,48.7079
200,3.18431,2.20984,48.7286
201,3.17625,2.21302,48.7489
202,3.16821,2.21618,48.7688
203,3.16018,2.21932,48.7884
204,3.15215,2.22244,48.8076
205,3.14414,2.22554,48.8264
206,3.13614,2.22862,48.8448
207,3.12815,2.23168,48.8629
208,3.12016,2.23472,48.8806
209,3.11219,2.23774,48.898
210,3.10423,2.24074,48.915
211,3.09628,2.24371,48.9317
212,3.08834,2.24667,48.948
213,3.08041,2.24961,48.964
214,3.07248,2.25253,48.9797
215,3.06457,2.25542,48.995
216,3.05667,2.2583,49.01
217,3.04878,2.26116,49.0247
218,3.0409,2.264,49.0391
219,3.03303,2.26682,49.0532
220,3.02517,2.26962,49.0669
221,3.01732,2.2724,49.0803
222,3.00948,2.27516,49.0935
223,3.00165,2.2779,49.1063
224,2.99383,2.28062,49.1189
225,2.98603,2.28332,49.1311
226,2.97823,2.28601,49.1431
227,2.97044,2.28867,49.1547
228,2.96266,2.29132,49.1661
229,2.95489,2.29394,49.1772
230,2.94713,2.29655,49.188
231,2.93939,2.29914,49.1986
232,2.93165,2.30171,49.2088
233,2.92392,2.30426,49.2188
234,2.9162,2.3068,49.2286
235,2.9085,2.30931,49.238
236,2.9008,2.31181,49.2472
237,2.89311,2.31428,49.2562
238,2.88544,2.31674,49.2649
239,2.87777,2.31918,49.2733
240,2.87012,2.32161,49.2815
241,2.86247,2.32401,49.2894
242,2.85483,2.3264,49.2971
243,2.84721,2.32877,49.3046
244,2.83959,2.33112,49.3118
245,2.83199,2.33345,49.3187
246,2.82439,2.33577,49.3255
247,2.81681,2.33807,49.332
248,2.80924,2.34035,49.3382
249,2.80167,2.34261,49.3443
250,2.79412,2.34485,49.3501
251,2.78657,2.34708,49.3557
252,2.77904,2.34929,49.361
253,2.77152,2.35148,49.3662
254,2.764,2.35366,49.3711
255,2.7565,2.35581,49.3758
256,2.74901,2.35796,49.3803
257,2.74153,2.36008,49.3846
258,2.73405,2.36219,49.3887
259,2.72659,2.36427,49.3925
260,2.71914,2.36635,49.3962
261,2.7117,2.3684,49.3996
262,2.70427,2.37044,49.4029
263,2.69684,2.37246,49.4059
264,2.68943,2.37447,49.4088
265,2.68203,2.37646,49.4114
266,2.67464,2.37843,49.4139
267,2.66726,2.38038,49.4162
268,2.65989,2.38232,49.4182
269,2.65253,2.38425,49.4201
270,2.64518,2.38615,49.4218
271,2.63784,2.38804,49.4233
272,2.63051,2.38991,49.4246
273,2.62319,2.39177,49.4258
274,2.61588,2.39361,49.4267
275,2.60858,2.39544,49.4275
276,2.60129,2.39725,49.4281
277,2.59402,2.39904,49.4286
278,2.58675,2.40081,49.4288
279,2.57949,2.40258,49.4289
280,2.57224,2.40432,49.4288
281,2.565,2.40605,49.4285
282,2.55778,2.40776,49.4281
283,2.55056,2.40946,49.4275
284,2.54335,2.41114,49.4267
285,2.53615,2.41281,49.4258
286,2.52897,2.41446,49.4247
287,2.52179,2.4161,49.4234
288,2.51462,2.41772,49.422
289,2.50747,2.41932,49.4204
290,2.50032,2.42091,49.4187
291,2.49319,2.42248,49.4168
292,2.48606,2.42404,49.4148
293,2.47894,2.42559,49.4125
294,2.47184,2.42712,49.4102
295,2.46474,2.42863,49.4077
296,2.45766,2.43013,49.405
297,2.45058,2.43161,49.4022
298,2.44352,2.43308,49.3993
299,2.43647,2.43453,49.3961
300,2.42942,2.43597,49.3929
301,2.42239,2.4374,49.3895
302,2.41536,2.43881,49.386
303,2.40835,2.4402,49.3823
304,2.40135,2.44158,49.3785
305,2.39435,2.44295,49.3745
306,2.38737,2.4443,49.3704
307,2.3804,2.44563,49.3661
308,2.37344,2.44695,49.3618
309,2.36648,2.44826,49.3573
310,2.35954,2.44955,49.3526
311,2.35261,2.45083,49.3478
312,2.34569,2.4521,49.3429
313,2.33878,2.45335,49.3379
314,2.33187,2.45458,49.3327
315,2.32498,2.45581,49.3274
316,2.3181,2.45701,49.3219
317,2.31123,2.45821,49.3164
318,2.30437,2.45939,49.3107
319,2.29752,2.46055,49.3048
320,2.29068,2.46171,49.2989
321,2.28385,2.46285,49.2928
322,2.27703,2.46397,49.2866
323,2.27022,2.46508,49.2803
324,2.26342,2.46618,49.2739
325,2.25663,2.46726,49.2673
326,2.24985,2.46833,49.2606
327,2.24309,2.46939,49.2538
328,2.23633,2.47043,49.2469
329,2.22958,2.47146,49.2399
330,2.22284,2.47247,49.2327
331,2.21611,2.47348,49.2254
332,2.20939,2.47447,49.218
333,2.20269,2.47544,49.2105
334,2.19599,2.4764,49.2029
335,2.1893,2.47735,49.1952
336,2.18263,2.47829,49.1873
337,2.17596,2.47921,49.1794
338,2.1693,2.48012,49.1713
339,2.16266,2.48102,49.1631
340,2.15602,2.4819,49.1549
341,2.14939,2.48277,49.1465
342,2.14278,2.48363,49.138
343,2.13617,2.48447,49.1294
344,2.12958,2.48531,49.1206
345,2.12299,2.48613,49.1118
346,2.11642,2.48693,49.1029
347,2.10985,2.48772,49.0938
348,2.1033,2.48851,49.0847
349,2.09675,2.48927,49.0755
350,2.09022,2.49003,49.0661
351,2.08369,2.49077,49.0567
352,2.07718,2.4915,49.0471
353,2.07068,2.49222,49.0375
354,2.06418,2.49293,49.0277
355,2.0577,2.49362,49.0179
356,2.05123,2.4943,49.0079
357,2.04476,2.49497,48.9979
358,2.03831,2.49563,48.9877
359,2.03187,2.49627,48.9775
360,2.02544,2.4969,48.9671
361,2.01902,2.49752,48.9567
362,2.0126,2.49813,48.9462
363,2.0062,2.49872,48.9355
364,1.99981,2.49931,48.9248
365,1.99343,2.49988,48.914
366,1.98706,2.50044,48.9031
367,1.9807,2.50098,48.892
368,1.97435,2.50152,48.8809
369,1.96801,2.50204,48.8698
370,1.96168,2.50255,48.8585
371,1.95536,2.50305,48.8471
372,1.94905,2.50354,48.8356
373,1.94275,2.50402,48.8241
374,1.93646,2.50448,48.8124
375,1.93018,2.50494,48.8007
376,1.92391,2.50538,48.7889
377,1.91765,2.50581,48.7769
378,1.9114,2.50623,48.7649
379,1.90516,2.50663,48.7528
380,1.89893,2.50703,48.7407
381,1.89272,2.50741,48.7284
382,1.88651,2.50778,48.716
383,1.88031,2.50815,48.7036
384,1.87412,2.5085,48.6911
385,1.86795,2.50883,48.6785
386,1.86178,2.50916,48.6658
387,1.85562,2.50948,48.653
388,1.84947,2.50978,48.6401
389,1.84334,2.51008,48.6272
390,1.83721,2.51036,48.6142
391,1.8311,2.51063,48.6011
392,1.82499,2.51089,48.5879
393,1.81889,2.51114,48.5746
394,1.81281,2.51138,48.5612
395,1.80673,2.51161,48.5478
396,1.80067,2.51182,48.5343
397,1.79461,2.51203,48.5207
398,1.78857,2.51222,48.507
399,1.78253,2.51241,48.4932
400,1.77651,2.51258,48.4794
401,1.77049,2.51274,48.4655
402,1.76449,2.5129,48.4515
403,1.7585,2.51304,48.4374
404,1.75251,2.51317,48.4233
405,1.74654,2.51329,48.409
406,1.74058,2.5134,48.3947
407,1.73462,2.5135,48.3803
408,1.72868,2.51359,48.3659
409,1.72275,2.51367,48.3513
410,1.71683,2.51373,48.3367
411,1.71091,2.51379,48.322
412,1.70501,2.51384,48.3073
413,1.69912,2.51387,48.2924
414,1.69324,2.5139,48.2775
415,1.68737,2.51392,48.2625
416,1.68151,2.51392,48.2474
417,1.67566,2.51392,48.2323
418,1.66981,2.5139,48.2171
419,1.66398,2.51388,48.2018
420,1.65816,2.51384,48.1864
421,1.65235,2.5138,48.171
422,1.64655,2.51374,48.1555
423,1.64076,2.51368,48.1399
424,1.63498,2.5136,48.1243
425,1.62921,2.51352,48.1085
426,1.62346,2.51343,48.0928
427,1.61771,2.51332,48.0769
428,1.61197,2.51321,48.0609
429,1.60624,2.51308,48.0449
430,1.60052,2.51295,48.0289
431,1.59481,2.5128,48.0127
432,1.58911,2.51265,47.9965
433,1.58343,2.51249,47.9802
434,1.57775,2.51231,47.9638
435,1.57208,2.51213,47.9474
436,1.56642,2.51194,47.9309
437,1.56078,2.51174,47.9144
438,1.55514,2.51153,47.8977
439,1.54951,2.51131,47.881
440,1.5439,2.51108,47.8642
441,1.53829,2.51084,47.8474
442,1.53269,2.51059,47.8305
443,1.52711,2.51033,47.8135
444,1.52153,2.51006,47.7965
445,1.51597,2.50978,47.7794
446,1.51041,2.5095,47.7622
447,1.50487,2.5092,47.7449
448,1.49933,2.5089,47.7276
449,1.49381,2.50858,47.7102
450,1.48829,2.50826,47.6928
451,1.48279,2.50793,47.6753
452,1.47729,2.50758,47.6577
453,1.47181,2.50723,47.6401
454,1.46634,2.50687,47.6224
455,1.46087,2.5065,47.6046
456,1.45542,2.50613,47.5867
457,1.44998,2.50574,47.5688
458,1.44454,2.50534,47.5509
459,1.43912,2.50494,47.5328
460,1.43371,2.50452,47.5147
461,1.42831,2.5041,47.4966
462,1.42291,2.50367,47.4783
463,1.41753,2.50323,47.46
464,1.41216,2.50278,47.4417
465,1.4068,2.50232,47.4233
466,1.40145,2.50186,47.4048
467,1.39611,2.50138,47.3862
468,1.39078,2.5009,47.3676
469,1.38546,2.5004,47.3489
470,1.38014,2.4999,47.3302
471,1.37484,2.49939,47.3114
472,1.36955,2.49887,47.2925
473,1.36427,2.49835,47.2736
474,1.359,2.49781,47.2546
475,1.35375,2.49727,47.2356
476,1.3485,2.49671,47.2165
477,1.34326,2.49615,47.1973
478,1.33803,2.49558,47.1781
479,1.33281,2.49501,47.1588
480,1.3276,2.49442,47.1394
481,1.3224,2.49383,47.12
482,1.31721,2.49322,47.1005
483,1.31204,2.49261,47.0809
484,1.30687,2.49199,47.0613
485,1.30171,2.49137,47.0417
486,1.29656,2.49073,47.0219
487,1.29143,2.49009,47.0022
488,1.2863,2.48943,46.9823
489,1.28118,2.48877,46.9624
490,1.27608,2.48811,46.9424
491,1.27098,2.48743,46.9224
492,1.26589,2.48675,46.9023
493,1.26082,2.48605,46.8821
494,1.25575,2.48535,46.8619
495,1.2507,2.48464,46.8417
496,1.24565,2.48393,46.8213
497,1.24061,2.4832,46.8009
498,1.23559,2.48247,46.7805
499,1.23058,2.48173,46.76
500,1.22557,2.48098,46.7394
501,1.22058,2.48023,46.7188
502,1.21559,2.47947,46.6981
503,1.21062,2.47869,46.6773
504,1.20565,2.47792,46.6565
505,1.2007,2.47713,46.6357
506,1.19576,2.47634,46.6147
507,1.19082,2.47553,46.5937
508,1.1859,2.47472,46.5727
509,1.18099,2.47391,46.5516
510,1.17609,2.47308,46.5304
511,1.17119,2.47225,46.5092
512,1.16631,2.47141,46.4879
513,1.16144,2.47056,46.4666
514,1.15658,2.46971,46.4452
515,1.15172,2.46885,46.4237
516,1.14688,2.46798,46.4022
517,1.14205,2.4671,46.3806
518,1.13723,2.46621,46.359
519,1.13242,2.46532,46.3373
520,1.12762,2.46442,46.3156
521,1.12283,2.46352,46.2938
522,1.11805,2.4626,46.2719
523,1.11328,2.46168,46.25
524,1.10852,2.46075,46.228
525,1.10377,2.45982,46.206
526,1.09903,2.45888,46.1839
527,1.0943,2.45793,46.1617
528,1.08958,2.45697,46.1395
529,1.08487,2.456,46.1173
530,1.08017,2.45503,46.0949
531,1.07549,2.45405,46.0726
532,1.07081,2.45307,46.0501
533,1.06614,2.45208,46.0276
534,1.06148,2.45108,46.0051
535,1.05683,2.45007,45.9825
536,1.0522,2.44906,45.9598
537,1.04757,2.44804,45.9371
538,1.04295,2.44701,45.9143
539,1.03834,2.44597,45.8914
540,1.03375,2.44493,45.8685
541,1.02916,2.44388,45.8456
542,1.02458,2.44283,45.8226
543,1.02002,2.44177,45.7995
544,1.01546,2.4407,45.7764
545,1.01092,2.43962,45.7532
546,1.00638,2.43854,45.73
547,1.00186,2.43745,45.7067
548,0.997341,2.43636,45.6833
549,0.992836,2.43526,45.6599
550,0.988341,2.43415,45.6364
551,0.983857,2.43303,45.6129
552,0.979382,2.43191,45.5893
553,0.974918,2.43078,45.5657
554,0.970464,2.42965,45.542
555,0.966021,2.4285,45.5183
556,0.961587,2.42736,45.4945
557,0.957164,2.4262,45.4706
558,0.95275,2.42504,45.4467
559,0.948347,2.42387,45.4227
560,0.943955,2.4227,45.3987
561,0.939572,2.42152,45.3746
562,0.9352,2.42033,45.3504
563,0.930838,2.41914,45.3262
564,0.926486,2.41794,45.302
565,0.922144,2.41673,45.2777
566,0.917812,2.41552,45.2533
567,0.913491,2.4143,45.2289
568,0.90918,2.41308,45.2044
569,0.904879,2.41184,45.1798
570,0.900588,2.41061,45.1552
571,0.896307,2.40936,45.1306
572,0.892037,2.40811,45.1059
573,0.887777,2.40686,45.0811
574,0.883527,2.4056,45.0563
575,0.879287,2.40433,45.0314
576,0.875057,2.40305,45.0065
577,0.870838,2.40177,44.9815
578,0.866628,2.40049,44.9564
579,0.862429,2.3992,44.9313
580,0.858241,2.3979,44.9062
581,0.854062,2.39659,44.881
582,0.849894,2.39528,44.8557
583,0.845735,2.39397,44.8304
584,0.841587,2.39264,44.805
585,0.837449,2.39132,44.7795
586,0.833322,2.38998,44.754
587,0.829204,2.38864,44.7285
588,0.825097,2.3873,44.7029
589,0.821,2.38594,44.6772
590,0.816913,2.38459,44.6515
591,0.812837,2.38322,44.6257
592,0.80877,2.38185,44.5998
593,0.804714,2.38048,44.5739
594,0.800668,2.3791,44.548
595,0.796632,2.37771,44.522
596,0.792606,2.37632,44.4959
597,0.788591,2.37492,44.4698
598,0.784585,2.37352,44.4436
599,0.78059,2.37211,44.4174
600,0.776606,2.3707,44.3911
601,0.772631,2.36928,44.3647
602,0.768666,2.36785,44.3383
603,0.764712,2.36642,44.3119
604,0.760768,2.36498,44.2854
605,0.756834,2.36354,44.2588
606,0.75291,2.36209,44.2321
607,0.748997,2.36064,44.2055
608,0.745094,2.35918,44.1787
609,0.7412,2.35772,44.1519
610,0.737318,2.35625,44.125
611,0.733445,2.35477,44.0981
612,0.729582,2.35329,44.0712
613,0.72573,2.35181,44.0441
614,0.721888,2.35032,44.017
615,0.718056,2.34882,43.9899
616,0.714234,2.34732,43.9627
617,0.710423,2.34581,43.9354
618,0.706621,2.3443,43.9081
619,0.70283,2.34278,43.8807
620,0.699049,2.34126,43.8533
621,0.695279,2.33973,43.8258
622,0.691518,2.3382,43.7983
623,0.687768,2.33666,43.7707
624,0.684028,2.33512,43.743
625,0.680298,2.33357,43.7153
626,0.676578,2.33201,43.6875
627,0.672868,2.33045,43.6597
628,0.669169,2.32889,43.6318
629,0.66548,2.32732,43.6038
630,0.661801,2.32575,43.5758
631,0.658132,2.32417,43.5478
632,0.654474,2.32258,43.5196
633,0.650825,2.321,43.4915
634,0.647187,2.3194,43.4632
635,0.643559,2.3178,43.4349
636,0.639941,2.3162,43.4066
637,0.636334,2.31459,43.3782
638,0.632736,2.31298,43.3497
639,0.629149,2.31136,43.3212
640,0.625572,2.30973,43.2926
641,0.622005,2.30811,43.2639
642,0.618449,2.30647,43.2352
643,0.614902,2.30483,43.2065
644,0.611366,2.30319,43.1777
645,0.60784,2.30154,43.1488
646,0.604324,2.29989,43.1199
647,0.600819,2.29823,43.0909
648,0.597323,2.29657,43.0618
649,0.593838,2.29491,43.0327
650,0.590363,2.29324,43.0035
651,0.586898,2.29156,42.9743
652,0.583444,2.28988,42.945
653,0.579999,2.28819,42.9157
654,0.576565,2.2865,42.8863
655,0.573141,2.28481,42.8568
656,0.569727,2.28311,42.8273
657,0.566324,2.28141,42.7977
658,0.56293,2.2797,42.768
659,0.559547,2.27799,42.7383
660,0.556174,2.27627,42.7086
661,0.552811,2.27455,42.6788
662,0.549458,2.27282,42.6489
663,0.546116,2.27109,42.6189
664,0.542784,2.26936,42.5889
665,0.539462,2.26762,42.5589
666,0.53615,2.26587,42.5288
667,0.532848,2.26412,42.4986
668,0.529557,2.26237,42.4683
669,0.526275,2.26062,42.438
670,0.523004,2.25885,42.4077
671,0.519743,2.25709,42.3773
672,0.516493,2.25532,42.3468
673,0.513252,2.25354,42.3163
674,0.510022,2.25177,42.2857
675,0.506802,2.24998,42.255
676,0.503592,2.2482,42.2243
677,0.500392,2.2464,42.1935
678,0.497203,2.24461,42.1627
679,0.494024,2.24281,42.1318
680,0.490855,2.24101,42.1008
681,0.487696,2.2392,42.0698
682,0.484547,2.23738,42.0387
683,0.481408,2.23557,42.0075
684,0.47828,2.23375,41.9763
685,0.475162,2.23192,41.9451
686,0.472054,2.23009,41.9137
687,0.468956,2.22826,41.8823
688,0.465869,2.22643,41.8509
689,0.462792,2.22458,41.8194
690,0.459725,2.22274,41.7878
691,0.456668,2.22089,41.7562
692,0.453621,2.21904,41.7245
693,0.450584,2.21718,41.6927
694,0.447558,2.21532,41.6609
695,0.444542,2.21346,41.629
696,0.441536,2.21159,41.5971
697,0.43854,2.20971,41.565
698,0.435555,2.20784,41.533
699,0.432579,2.20596,41.5008
700,0.429614,2.20407,41.4686
701,0.426659,2.20219,41.4364
702,0.423715,2.20029,41.4041
703,0.42078,2.1984,41.3717
704,0.417856,2.1965,41.3392
705,0.414941,2.1946,41.3067
706,0.412037,2.19269,41.2742
707,0.409144,2.19078,41.2415
708,0.40626,2.18886,41.2088
709,0.403387,2.18695,41.1761
710,0.400524,2.18502,41.1432
711,0.397671,2.1831,41.1103
712,0.394828,2.18117,41.0774
713,0.391995,2.17924,41.0444
714,0.389173,2.1773,41.0113
715,0.386361,2.17536,40.9781
716,0.383559,2.17342,40.9449
717,0.380767,2.17147,40.9117
718,0.377985,2.16952,40.8783
719,0.375214,2.16756,40.8449
720,0.372453,2.1656,40.8114
721,0.369702,2.16364,40.7779
722,0.366961,2.16168,40.7443
723,0.36423,2.15971,40.7107
724,0.36151,2.15774,40.6769
725,0.3588,2.15576,40.6431
726,0.3561,2.15378,40.6093
727,0.35341,2.1518,40.5754
728,0.35073,2.14981,40.5414
729,0.348061,2.14782,40.5073
730,0.345402,2.14583,40.4732
731,0.342753,2.14383,40.439
732,0.340114,2.14184,40.4048
733,0.337485,2.13983,40.3705
734,0.334867,2.13783,40.3361
735,0.332259,2.13582,40.3016
736,0.32966,2.1338,40.2671
737,0.327073,2.13179,40.2325
738,0.324495,2.12977,40.1979
739,0.321928,2.12775,40.1632
740,0.31937,2.12572,40.1284
741,0.316823,2.12369,40.0935
742,0.314286,2.12166,40.0586
743,0.31176,2.11962,40.0237
744,0.309243,2.11758,39.9886
745,0.306737,2.11554,39.9535
746,0.304241,2.1135,39.9183
747,0.301755,2.11145,39.8831
748,0.299279,2.10939,39.8477
749,0.296814,2.10734,39.8123
750,0.294359,2.10528,39.7769
751,0.291914,2.10322,39.7414
752,0.289479,2.10116,39.7058
753,0.287054,2.09909,39.6701
754,0.28464,2.09702,39.6344
755,0.282235,2.09495,39.5986
756,0.279841,2.09287,39.5627
757,0.277457,2.09079,39.5268
758,0.275084,2.08871,39.4908
759,0.27272,2.08662,39.4547
760,0.270367,2.08454,39.4186
761,0.268024,2.08244,39.3824
762,0.265691,2.08035,39.3461
763,0.263368,2.07825,39.3097
764,0.261056,2.07615,39.2733
765,0.258753,2.07405,39.2368
766,0.256461,2.07194,39.2003
767,0.254179,2.06984,39.1636
768,0.251907,2.06772,39.1269
769,0.249646,2.06561,39.0902
770,0.247395,2.06349,39.0533
771,0.245153,2.06137,39.0164
772,0.242923,2.05925,38.9794
773,0.240702,2.05712,38.9424
774,0.238491,2.055,38.9053
775,0.236291,2.05286,38.8681
776,0.234101,2.05073,38.8308
777,0.231921,2.04859,38.7934
778,0.229751,2.04645,38.756
779,0.227592,2.04431,38.7186
780,0.225442,2.04217,38.681
781,0.223303,2.04002,38.6434
782,0.221174,2.03787,38.6057
783,0.219055,2.03572,38.5679
784,0.216947,2.03356,38.53
785,0.214848,2.0314,38.4921
786,0.21276,2.02924,38.4541
787,0.210682,2.02708,38.4161
788,0.208614,2.02491,38.3779
789,0.206557,2.02275,38.3397
790,0.204509,2.02057,38.3014
791,0.202472,2.0184,38.2631
792,0.200445,2.01622,38.2247
793,0.198429,2.01405,38.1861
794,0.196422,2.01186,38.1476
795,0.194426,2.00968,38.1089
796,0.192439,2.00749,38.0702
797,0.190463,2.00531,38.0314
798,0.188498,2.00311,37.9925
799,0.186542,2.00092,37.9535
800,0.184597,1.99872,37.9145
801,0.182661,1.99653,37.8754
802,0.180736,1.99433,37.8362
803,0.178822,1.99212,37.797
804,0.176917,1.98992,37.7576
805,0.175022,1.98771,37.7182
806,0.173138,1.9855,37.6788
807,0.171264,1.98328,37.6392
808,0.1694,1.98107,37.5996
809,0.167547,1.97885,37.5598
810,0.165703,1.97663,37.5201
811,0.16387,1.97441,37.4802
812,0.162047,1.97219,37.4402
813,0.160234,1.96996,37.4002
814,0.158432,1.96773,37.3601
815,0.156639,1.9655,37.32
816,0.154857,1.96327,37.2797
817,0.153085,1.96103,37.2394
818,0.151323,1.95879,37.199
819,0.149571,1.95655,37.1585
820,0.14783,1.95431,37.1179
821,0.146099,1.95207,37.0773
822,0.144378,1.94982,37.0365
823,0.142667,1.94757,36.9957
824,0.140966,1.94532,36.9548
825,0.139276,1.94307,36.9139
